"03/04/2024","-16.96","*","","MCDONALD'S F4142 SARASOTA FL"
"03/03/2024","-30.76","*","","PUBLIX #828 SARASOTA FL"
"03/02/2024","-9.62","*","","TACO BELL #24542 SARASOTA FL"
"03/02/2024","-15.78","*","","DING TEA UNIVERSITY PAFL"
"02/29/2024","-46.00","*","","DAIQUIRI DECK INC SARASOTA FL"
"02/29/2024","-9.92","*","","SQ *SIESTA KEY FUDGE FACTSarasota FL"
"02/29/2024","-10.00","*","","GITHUB, INC. HTTPSGITHUB.CCA"
"02/28/2024","-7.59","*","","MCDONALD'S F10687 SARASOTA FL"
"02/28/2024","-42.76","*","","WAWA 5224 SARASOTA FL"
"02/28/2024","-13.51","*","","WAWA 5224 SARASOTA FL"
"02/25/2024","-82.40","*","","HI TEC PAINTBALL PARK INCBRADENTON FL"
"02/25/2024","-8.04","*","","ROYAL TEA SARASOTA FL"
"02/23/2024","-7.49","*","","ROYAL TEA SARASOTA FL"
"02/20/2024","-21.39","*","","204 AMF 8003425263 SARASOTA FL"
"02/20/2024","-18.18","*","","204 AMF 8003425263 SARASOTA FL"
"02/19/2024","-4.51","*","","CHICK-FIL-A #04073 SARASOTA FL"
"02/17/2024","1583.69","*","","ONLINE PAYMENT THANK YOU"
"02/17/2024","-13.59","*","","SARASOTA BOBA TEA SARASOTA FL"
"02/16/2024","-53.86","*","","FIRST WATCH - 0196 SARASOTA FL"
"02/16/2024","-45.00","*","","RACETRAC126 00001263 SARASOTA FL"
"02/16/2024","-4.90","*","","CF* CRUMBL SOUTHSARASO 180-14101313 UT"
"02/15/2024","-24.66","*","","OLIVE GARDEN ZK 0021114 SARASOTA FL"
"02/14/2024","40.61","*","","TARGET.COM * 800-591-3869 MN"
"02/13/2024","-10.22","*","","PAR*SMOOTHIE KING SK1150 SARASOTA FL"
"02/09/2024","-7.49","*","","ROYAL TEA SARASOTA FL"
"02/08/2024","-26.74","*","","BIG DANS CAR WASH BRADENBRADENTON FL"
"02/08/2024","-5.00","*","","PYTHONANYWHERE RICHMOND GB"
"02/07/2024","-10.37","*","","PAR*SMOOTHIE KING SK1150 SARASOTA FL"
"02/04/2024","-188.69","*","","TST* THE MELTING POT - SASARASOTA FL"
"02/01/2024","-1.06","*","","CULVERS OF SARASOTA 511 SARASOTA FL"
"01/31/2024","-171.11","*","","AMZN Mktp US*R279F4QK0 Amzn.com/billWA"
"01/31/2024","-40.20","*","","7-ELEVEN 36790 SARASOTA FL"
"01/30/2024","-11.81","*","","CHIPOTLE 1040 SARASOTA FL"
"01/30/2024","-10.00","*","","K1 SPEED TAMPA - AMUSEME TAMPA FL"
"01/30/2024","-54.44","*","","K1 SPEED - TAMPA, FL TAMPA FL"
"01/29/2024","-10.00","*","","GITHUB, INC. HTTPSGITHUB.CCA"
"01/29/2024","-31.95","*","","PUBLIX #828 SARASOTA FL"
"01/28/2024","-8.99","*","","ROYAL TEA SARASOTA FL"
"01/26/2024","-9.53","*","","DING TEA UNIVERSITY PAFL"
"01/25/2024","-14.64","*","","CHINA TASTE SARASOTA FL"
"01/23/2024","-9.53","*","","DING TEA UNIVERSITY PAFL"
"01/22/2024","-343.08","*","","SQ *SARASOTA BJJ Sarasota FL"
"01/22/2024","-42.79","*","","AMZN Mktp US*R86YL1DX2 Amzn.com/billWA"
"01/22/2024","-40.61","*","","TARGET.COM * 800-591-3869 MN"
"01/22/2024","-34.78","*","","EXXON REBEL#862 SARASOTA FL"
"01/21/2024","-19.95","*","","CHEGG ORDER 855-440-1323 CA"
"01/20/2024","-37.44","*","","AMZN Mktp US*R01BT6ZH0 Amzn.com/billWA"
"01/18/2024","-50.59","*","","AMZN Mktp US*R82WF7790 Amzn.com/billWA"
"01/18/2024","-57.62","*","","PUBLIX #828 SARASOTA FL"
"01/17/2024","-93.01","*","","AMZN Mktp US*RT5SB6YI2 Amzn.com/billWA"
"01/16/2024","1218.45","*","","ONLINE PAYMENT THANK YOU"
"01/16/2024","-20.11","*","","CHICK-FIL-A #04073 SARASOTA FL"
"01/16/2024","-165.90","*","","PHOTOENFORCEMENTPROGRAM 866-4284934 IL"
"01/16/2024","-63.28","*","","K1 SPEED - TAMPA, FL TAMPA FL"
"01/15/2024","-4.70","*","","CULVERS OF SARASOTA 511 SARASOTA FL"
"01/15/2024","-23.77","*","","MCDONALD'S F4142 SARASOTA FL"
"01/14/2024","-39.91","*","","FIRST WATCH - 0176 - ECOM941-907-9800 FL"
"01/13/2024","-15.52","*","","JA RAMEN UNIVERSITY PAFL"
"01/13/2024","-18.62","*","","REG HOLLYWOOD 20 0467 SARASOTA FL"
"01/12/2024","-9.50","*","","EXXON REBEL#862 SARASOTA FL"
"01/12/2024","-33.66","*","","EXXON REBEL#862 SARASOTA FL"
"01/11/2024","-129.83","*","","PUBLIX #828 SARASOTA FL"
"01/10/2024","-14.09","*","","MICHELANGELO UNIVERSITY SARASOTA FL"
"01/08/2024","-26.74","*","","BIG DANS CAR WASH BRADENBRADENTON FL"
"01/04/2024","-29.43","*","","DING TEA UNIVERSITY PAFL"
"01/04/2024","-8.51","*","","AMZN MKTP US*TK84I63O2 SEATTLE WA"
"01/03/2024","-8.51","*","","AMZN Mktp US*TK7YT0M30 Amzn.com/billWA"
"01/02/2024","-17.74","*","","PY *PDQ - SOUTH SARASOTA SARASOTA FL"
"01/01/2024","-16.56","*","","MCDONALD'S F4142 SARASOTA FL"
"12/30/2023","-9.68","*","","GITHUB, INC. HTTPSGITHUB.CCA"
"12/30/2023","-31.56","*","","PUBLIX #828 SARASOTA FL"
"12/29/2023","-11.48","*","","WAWA 5224 SARASOTA FL"
"12/29/2023","-39.99","*","","WAWA 5224 SARASOTA FL"
"12/28/2023","-41.49","*","","FIRST WATCH - 0112 SARASOTA FL"
"12/28/2023","-9.28","*","","ROYAL TEA SARASOTA FL"
"12/27/2023","-5.01","*","","DD/BR #350919 Q35 SARASOTA FL"
"12/27/2023","-1.81","*","","DD/BR #350919 Q35 SARASOTA FL"
"12/27/2023","-8.07","*","","ROYAL TEA SARASOTA FL"
"12/25/2023","-7.47","*","","DUNKIN #352532 SARASOTA FL"
"12/23/2023","-20.46","*","","CHIPOTLE ONLINE CHIPOTLE.COM CA"
"12/21/2023","-19.95","*","","CHEGG ORDER 855-440-1323 CA"
"12/21/2023","-20.17","*","","CHICK-FIL-A #01609 SARASOTA FL"
"12/21/2023","-31.19","*","","SHELL OIL12879220015 SARASOTA FL"
"12/20/2023","-25.68","*","","KOHL'S #1142 UNIVERSITY PAFL"
"12/20/2023","-13.71","*","","CHICK-FIL-A #04073 SARASOTA FL"
"12/19/2023","-36.86","*","","DETWILER'S FARM MARKET SARASOTA FL"
"12/19/2023","-50.17","*","","AMZN Mktp US*5K5KZ6Q83 Amzn.com/billWA"
